Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,pexels-photo-1062249.png,27.57217649,0.452819938,-0.020344534
1024x1024,Gaussian,pexels-photo-1078983.png,27.5818937,0.469814898,0.107191168
1024x1024,Gaussian,pexels-photo-1080400.png,27.58077062,0.425175024,0.044521239
1024x1024,Gaussian,pexels-photo-108941.png,27.49446178,0.413201867,-0.060641835
1024x1024,Gaussian,pexels-photo-1080401.png,28.10090926,0.369210657,-0.01108603
1024x1024,Gaussian,pexels-photo-1089168.png,27.67390833,0.392315244,-0.046237787
1024x1024,Gaussian,pexels-photo-1097491.png,27.94200168,0.295967433,0.070506325
1024x1024,Gaussian,pexels-photo-109243.png,27.77052654,0.390443282,-0.170201102
1024x1024,Gaussian,pexels-photo-1107717.png,27.39641797,0.376750628,0.005447297
1024x1024,Gaussian,pexels-photo-1102915.png,27.4742212,0.399186598,-0.069594184
1024x1024,Gaussian,pexels-photo-109391.png,27.4042236,0.387962065,-0.079906392
1024x1024,Gaussian,pexels-photo-1105189.png,27.28226496,0.453658193,-0.131421152
1024x1024,Gaussian,pexels-photo-1105389.png,27.55459065,0.38790797,-0.068566758
1024x1024,Gaussian,pexels-photo-1110656.png,27.7438496,0.458429385,0.090131087
1024x1024,Gaussian,pexels-photo-1118866.png,27.58711895,0.421700143,-0.241208752
1024x1024,Gaussian,pexels-photo-1113552.png,27.65818056,0.507269687,0.135590703
1024x1024,Gaussian,pexels-photo-1118861.png,29.45210117,0.344718113,0.054760504
1024x1024,Gaussian,pexels-photo-1108701.png,28.21958419,0.362978776,0.074652377
1024x1024,Gaussian,pexels-photo-1119973.png,27.46094136,0.681537092,0.217435336
1024x1024,Gaussian,pexels-photo-1125774.png,27.50548897,0.480520182,0.052751761
1024x1024,Gaussian,pexels-photo-1122418.png,27.4690997,0.514051983,-0.029430353
1024x1024,Gaussian,pexels-photo-1123972.png,27.61503648,0.404441433,-0.186682376
1024x1024,Gaussian,pexels-photo-1123484.png,27.37793836,0.42118121,-0.073024975
1024x1024,Gaussian,pexels-photo-1122408.png,27.69663101,0.5158726,0.016457158
1024x1024,Gaussian,pexels-photo-1119976.png,27.21852951,0.462977575,0.047528724
1024x1024,Gaussian,pexels-photo-113338.png,27.89506474,0.379234996,0.09954474
1024x1024,Gaussian,pexels-photo-1130847.png,27.6664916,0.472793736,-0.049747362
1024x1024,Gaussian,pexels-photo-1126379.png,27.32307913,0.436744387,0.170277638
